"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","F11","F12","F13","F14","F15","F16","hhid","camp","ref_weight"
1,12,17,1,6,1,85.07116,4,0,,,,,121700601,,
1,12,17,1,7,1,85.07116,2,0,,,,,121700701,,
1,12,17,1,8,1,85.07116,2,0,,,,,121700801,,
1,12,17,1,9,1,85.07116,3,0,,,,,121700901,,
1,12,17,1,10,1,7.15809113268609,4,0,,,,,121701001,,
1,12,17,1,11,1,85.07116,2,0,,,,,121701101,,
1,12,17,1,12,1,85.07116,6,0,,,,,121701201,,
1,12,17,1,13,1,85.07116,4,0,,,,,121701301,,
1,12,17,1,14,1,85.07116,3,0,,,,,121701401,,
1,12,17,1,15,1,85.07116,7,0,,,,,121701501,,
1,12,17,1,16,1,85.07116,5,0,,,,,121701601,,
1,12,17,1,17,1,85.07116,6,0,,,,,121701701,,
1,12,17,1,18,1,85.07116,7,0,,,,,121701801,,
1,12,18,2,1,1,947.7518,5,0,,,,,121800101,,
1,12,18,2,2,1,947.7518,3,0,,,,,121800201,,
1,12,18,2,3,1,143.598757575758,2,0,,,,,121800301,,
1,12,18,2,4,1,143.598757575758,6,0,,,,,121800401,,
1,12,18,2,5,1,143.598757575758,3,0,,,,,121800501,,
1,12,18,2,6,1,947.7518,4,0,,,,,121800601,,
1,12,18,2,7,1,143.598757575758,6,0,,,,,121800701,,
1,12,18,2,8,1,947.7518,2,0,,,,,121800801,,
1,12,18,2,9,1,143.598757575758,4,0,,,,,121800901,,
1,12,18,2,10,1,947.7518,7,0,,,,,121801001,,
1,12,18,2,11,1,947.7518,3,0,,,,,121801101,,
1,12,18,2,12,1,947.7518,1,0,,,,,121801201,,
1,12,18,2,13,1,143.598757575758,7,0,,,,,121801301,,
1,12,18,2,14,1,947.7518,1,1,1,14,100,,121801401,,
1,12,18,2,15,1,143.598757575758,4,0,,,,,121801501,,
1,12,18,2,16,1,947.7518,6,0,,,,,121801601,,
1,12,18,2,17,1,143.598757575758,5,0,,,,,121801701,,
1,12,18,2,18,1,947.7518,1,1,2,21,1000,,121801801,,
1,12,19,1,1,1,683.8179,6,0,,,,,121900101,,
1,12,19,1,2,1,44.8755496875,4,0,,,,,121900201,,
1,12,19,1,3,1,44.8755496875,7,0,,,,,121900301,,
1,12,19,1,4,1,44.8755496875,4,0,,,,,121900401,,
1,12,19,1,5,1,683.8179,7,0,,,,,121900501,,
1,12,19,1,6,1,683.8179,5,0,,,,,121900601,,
1,12,19,1,8,1,44.8755496875,7,0,,,,,121900801,,
1,12,19,1,9,1,683.8179,7,0,,,,,121900901,,
1,12,19,1,10,1,683.8179,5,0,,,,,121901001,,
1,12,19,1,11,1,683.8179,2,0,,,,,121901101,,
1,12,19,1,12,1,683.8179,7,0,,,,,121901201,,
1,12,19,1,13,1,683.8179,5,0,,,,,121901301,,
1,12,19,1,14,1,683.8179,5,0,,,,,121901401,,
1,12,19,1,15,1,683.8179,3,0,,,,,121901501,,
1,12,19,1,16,1,683.8179,5,0,,,,,121901601,,
1,12,19,1,17,1,683.8179,1,0,,,,,121901701,,
1,12,19,1,18,1,683.8179,7,0,,,,,121901801,,
1,12,19,1,19,1,683.8179,5,0,,,,,121901901,,
1,12,20,2,1,1,446.4181,6,0,,,,,122000101,,
1,12,20,2,2,1,604.193264109589,1,0,,,,,122000201,,
1,12,20,2,3,1,446.4181,2,0,,,,,122000301,,
1,12,20,2,4,1,604.193264109589,4,0,,,,,122000401,,
1,12,20,2,5,1,446.4181,3,0,,,,,122000501,,
1,12,20,2,6,1,604.193264109589,2,0,,,,,122000601,,
1,12,20,2,7,1,446.4181,6,0,,,,,122000701,,
1,12,20,2,8,1,446.4181,3,0,,,,,122000801,,
1,12,20,2,9,1,446.4181,4,0,,,,,122000901,,
1,12,20,2,10,1,446.4181,6,0,,,,,122001001,,
1,12,20,2,11,1,446.4181,1,0,,,,,122001101,,
1,12,20,2,12,1,446.4181,6,0,,,,,122001201,,
1,12,20,2,13,1,446.4181,2,0,,,,,122001301,,
1,12,20,2,14,1,604.193264109589,6,0,,,,,122001401,,
1,12,20,2,15,1,446.4181,5,0,,,,,122001501,,
1,12,20,2,16,1,446.4181,3,0,,,,,122001601,,
1,12,20,2,17,1,446.4181,5,0,,,,,122001701,,
1,12,20,2,18,1,604.193264109589,2,0,,,,,122001801,,
1,12,21,1,1,1,560.5378,4,0,,,,,122100101,,
1,12,21,1,2,1,560.5378,4,0,,,,,122100201,,
1,12,21,1,4,1,560.5378,6,0,,,,,122100401,,
1,12,21,1,5,1,323.609451546392,6,0,,,,,122100501,,
1,12,21,1,6,1,323.609451546392,3,0,,,,,122100601,,
1,12,21,1,7,1,560.5378,5,0,,,,,122100701,,
1,12,21,1,8,1,560.5378,5,0,,,,,122100801,,
1,12,21,1,9,1,560.5378,1,1,1,30,100,,122100901,,
1,12,21,1,10,1,560.5378,4,0,,,,,122101001,,
1,12,21,1,11,1,560.5378,3,0,,,,,122101101,,
1,12,21,1,12,1,560.5378,7,0,,,,,122101201,,
1,12,21,1,13,1,560.5378,3,0,,,,,122101301,,
1,12,21,1,14,1,560.5378,7,0,,,,,122101401,,
1,12,21,1,15,1,560.5378,7,0,,,,,122101501,,
1,12,21,1,16,1,560.5378,5,0,,,,,122101601,,
1,12,21,1,17,1,560.5378,5,0,,,,,122101701,,
1,12,21,1,18,1,560.5378,1,0,,,,,122101801,,
1,12,21,1,20,1,560.5378,4,0,,,,,122102001,,
1,12,22,1,1,1,16.4555545454545,2,0,,,,,122200101,,
1,12,22,1,2,1,16.4555545454545,1,1,8,1,200,,122200201,,
1,12,22,1,3,1,16.4555545454545,7,0,,,,,122200301,,
1,12,22,1,4,1,16.4555545454545,1,0,,,,,122200401,,
1,12,22,1,5,1,16.4555545454545,5,0,,,,,122200501,,
1,12,22,1,6,1,362.0222,6,0,,,,,122200601,,
1,12,22,1,7,1,362.0222,4,0,,,,,122200701,,
1,12,22,1,8,1,362.0222,6,0,,,,,122200801,,
1,12,22,1,9,1,362.0222,7,0,,,,,122200901,,
1,12,22,1,10,1,362.0222,2,0,,,,,122201001,,
1,12,22,1,11,1,362.0222,2,0,,,,,122201101,,
