"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_F01","CO_F01_YON","CO_F02","CO_F02B","CO_F02_OTHER","CO_F03","CO_F04","CO_F05","CO_F06","Basicweight"
23,22,1,2,1,1,1,5,1,555,0,8,0,0,,,15.03859
23,22,1,2,1,1,1,13,0,,,,,,,,15.03859
23,22,1,2,1,1,1,12,0,,,,,,,,15.03859
23,22,1,2,1,1,1,2,0,,,,,,,,15.03859
23,22,1,2,1,1,1,1,1,1,,,1666,1,1500,1550,15.03859
23,22,1,2,1,1,1,10,0,,,,,,,,15.03859
24,23,1,2,1,1,1,4,1,3,,,100,0,,,21.1205211428571
24,23,1,2,1,1,1,6,1,8,35,,11000,1,10000,11000,21.1205211428571
24,23,1,2,1,1,1,2,0,,,,,,,,21.1205211428571
24,23,1,2,1,1,1,13,0,,,,,,,,21.1205211428571
24,23,1,2,1,1,1,1,1,1,,,1667,1,1500,1600,21.1205211428571
24,23,1,2,1,1,1,5,0,,,,,,,,21.1205211428571
24,23,1,2,1,1,1,10,0,,,,,,,,21.1205211428571
24,23,1,2,1,1,1,3,1,4,,,888,0,,,21.1205211428571
24,23,1,2,1,1,1,8,0,,,,,,,,21.1205211428571
24,23,1,2,1,1,1,9,0,,,,,,,,21.1205211428571
24,23,1,2,1,1,1,7,0,,,,,,,,21.1205211428571
24,23,1,2,1,1,1,12,0,,,,,,,,21.1205211428571
24,23,1,2,1,1,1,11,0,,,,,,,,21.1205211428571
25,24,1,2,1,1,1,6,1,8,33.5,,11000,1,10000,11000,16.7416508571429
25,24,1,2,1,1,1,5,0,,,,,,,,16.7416508571429
25,24,1,2,1,1,1,1,1,1,,,1300,1,1000,1300,16.7416508571429
25,24,1,2,1,1,1,13,0,,,,,,,,16.7416508571429
25,24,1,2,1,1,1,4,0,,,,,,,,16.7416508571429
25,24,1,2,1,1,1,9,0,,,,,,,,16.7416508571429
25,24,1,2,1,1,1,2,0,,,,,,,,16.7416508571429
25,24,1,2,1,1,1,8,0,,,,,,,,16.7416508571429
25,24,1,2,1,1,1,3,1,4,,,888,0,,,16.7416508571429
25,24,1,2,1,1,1,7,0,,,,,,,,16.7416508571429
25,24,1,2,1,1,1,12,0,,,,,,,,16.7416508571429
25,24,1,2,1,1,1,10,0,,,,,,,,16.7416508571429
25,24,1,2,1,1,1,11,0,,,,,,,,16.7416508571429
26,25,1,2,1,1,1,12,1,5,888,,0,0,,,15.1199458740018
26,25,1,2,1,1,1,7,1,2,,,1200,1,1000,1200,15.1199458740018
26,25,1,2,1,1,1,10,0,,,,,,,,15.1199458740018
26,25,1,2,1,1,1,11,0,,,,,,,,15.1199458740018
26,25,1,2,1,1,1,1,1,1,,,1500,0,,,15.1199458740018
26,25,1,2,1,1,1,6,1,7,1,,300,1,250,300,15.1199458740018
26,25,1,2,1,1,1,3,1,4,,,888,0,,,15.1199458740018
26,25,1,2,1,1,1,4,1,3,,,250,0,,,15.1199458740018
26,25,1,2,1,1,1,9,0,,,,,,,,15.1199458740018
26,25,1,2,1,1,1,2,0,,,,,,,,15.1199458740018
26,25,1,2,1,1,1,8,0,,,,,,,,15.1199458740018
26,25,1,2,1,1,1,13,0,,,,,,,,15.1199458740018
26,25,1,2,1,1,1,5,1,5,7,,1200,0,,,15.1199458740018
27,26,1,2,1,1,1,13,0,,,,,,,,4.12082943262411
27,26,1,2,1,1,1,8,0,,,,,,,,4.12082943262411
27,26,1,2,1,1,1,6,1,8,32.3,,11500,1,10500,11500,4.12082943262411
27,26,1,2,1,1,1,7,0,,,,,,,,4.12082943262411
27,26,1,2,1,1,1,9,0,,,,,,,,4.12082943262411
27,26,1,2,1,1,1,11,0,,,,,,,,4.12082943262411
27,26,1,2,1,1,1,10,0,,,,,,,,4.12082943262411
27,26,1,2,1,1,1,3,1,4,,,888,0,,,4.12082943262411
27,26,1,2,1,1,1,12,0,,,,,,,,4.12082943262411
27,26,1,2,1,1,1,4,1,3,,,250,0,,,4.12082943262411
