"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_B01","CO_B02","CO_B03","CO_B05","CO_B06","CO_B07","CO_B07B","CO_B07_OTHER","Basicweight"
21,20,1,2,1,1,1,1,"13:42","10/06/2022",2,41,4,1,,92.4598432989691
21,20,1,2,1,1,1,2,"13:42","10/06/2022",1,25,7,999,,92.4598432989691
21,20,1,2,1,1,1,3,"13:45","10/06/2022",1,38,1,3,,92.4598432989691
22,21,1,2,1,1,1,1,"13:37","08/06/2022",1,68,1,999,,9.87333272727273
22,21,1,2,1,1,1,2,"13:38","08/06/2022",2,50,2,999,,9.87333272727273
23,22,1,2,1,1,1,1,"12:54","09/06/2022",1,48,1,999,,15.03859
23,22,1,2,1,1,1,2,"12:55","09/06/2022",2,43,4,999,,15.03859
23,22,1,2,1,1,1,3,"12:56","09/06/2022",2,60,2,999,,15.03859
24,23,1,2,1,1,1,1,"10:01","10/06/2022",1,60,1,9,,21.1205211428571
24,23,1,2,1,1,1,2,"10:02","10/06/2022",2,47,555,999,17,21.1205211428571
25,24,1,2,1,1,1,1,"15:03","08/06/2022",1,43,4,9,,16.7416508571429
26,25,1,2,1,1,1,3,"14:23","10/06/2022",2,57,555,9,18,15.1199458740018
26,25,1,2,1,1,1,1,"14:20","10/06/2022",1,39,4,9,,15.1199458740018
26,25,1,2,1,1,1,2,"14:22","10/06/2022",1,32,555,9,7,15.1199458740018
27,26,1,2,1,1,1,1,"14:04","09/06/2022",2,40,4,9,,4.12082943262411
27,26,1,2,1,1,1,2,"14:05","09/06/2022",2,39,2,6,,4.12082943262411
27,26,1,2,1,1,1,4,"14:08","09/06/2022",2,44,11,9,,4.12082943262411
27,26,1,2,1,1,1,6,"14:11","09/06/2022",2,23,6,999,,4.12082943262411
27,26,1,2,1,1,1,7,"14:13","09/06/2022",2,63,555,9,9,4.12082943262411
27,26,1,2,1,1,1,5,"14:09","09/06/2022",1,51,555,9,8,4.12082943262411
27,26,1,2,1,1,1,3,"14:07","09/06/2022",1,44,3,9,,4.12082943262411
28,27,1,2,1,1,4,2,"12:28","10/06/2022",1,42,7,999,,11.2538897515528
28,27,1,2,1,1,4,4,"12:29","10/06/2022",1,34,3,999,,11.2538897515528
28,27,1,2,1,1,4,1,"12:27","10/06/2022",1,37,1,999,,11.2538897515528
28,27,1,2,1,1,4,3,"12:29","10/06/2022",2,37,4,999,,11.2538897515528
29,28,1,2,1,1,1,2,"09:39","08/06/2022",1,67,3,999,,65.775825
29,28,1,2,1,1,1,1,"09:37","08/06/2022",1,44,1,999,,65.775825
29,28,1,2,1,1,1,3,"09:52","08/06/2022",2,38,6,999,,65.775825
29,28,1,2,1,1,1,4,"10:00","08/06/2022",2,58,4,555,2,65.775825
30,29,1,2,2,1,1,1,"12:23","07/06/2022",1,41,3,999,,27.3053669724771
30,29,1,2,2,1,1,2,"12:26","07/06/2022",1,53,2,555,14,27.3053669724771
31,30,1,2,1,1,1,3,"10:26","10/06/2022",1,37,555,1,11,7.984714375
31,30,1,2,1,1,1,1,"10:11","10/06/2022",1,45,555,1,1,7.984714375
31,30,1,2,1,1,1,4,"10:29","10/06/2022",1,54,3,999,,7.984714375
31,30,1,2,1,1,1,2,"10:26","10/06/2022",1,30,4,8,,7.984714375
32,31,1,2,1,1,1,3,"09:34","09/06/2022",2,32,4,999,,4.23082260869565
32,31,1,2,1,1,1,1,"09:32","09/06/2022",1,42,1,999,,4.23082260869565
32,31,1,2,1,1,1,2,"09:33","09/06/2022",1,50,3,999,,4.23082260869565
33,32,1,2,1,1,1,2,"10:20","10/06/2022",2,42,2,999,,21.1555548
33,32,1,2,1,1,1,1,"10:17","10/06/2022",1,68,3,999,,21.1555548
33,32,1,2,1,1,1,3,"10:28","10/06/2022",2,32,2,999,,21.1555548
34,33,1,2,2,1,2,5,"14:50","06/06/2022",2,42,4,999,,48.7433
34,33,1,2,2,1,2,3,"14:48","06/06/2022",1,42,3,999,,48.7433
34,33,1,2,2,1,2,2,"14:47","06/06/2022",1,49,1,555,1,48.7433
34,33,1,2,2,1,2,4,"14:50","06/06/2022",2,30,2,999,,48.7433
34,33,1,2,2,1,2,1,"14:46","06/06/2022",1,35,555,999,8,48.7433
35,34,1,3,1,1,1,1,"10:38","09/06/2022",1,40,1,999,,39.1813092105263
35,34,1,3,1,1,1,2,"10:40","09/06/2022",1,43,3,999,,39.1813092105263
36,35,1,3,2,1,2,3,"13:34","07/06/2022",2,28,2,999,,33.7477419354839
36,35,1,3,2,1,2,2,"13:33","07/06/2022",2,40,4,999,,33.7477419354839
36,35,1,3,2,1,2,1,"13:32","07/06/2022",1,49,1,999,,33.7477419354839
36,35,1,3,2,1,2,5,"13:45","07/06/2022",1,33,7,999,,33.7477419354839
36,35,1,3,2,1,2,4,"13:43","07/06/2022",1,43,3,999,,33.7477419354839
37,36,1,3,1,1,1,2,"09:56","10/06/2022",2,42,555,3,2,13.9474928131417
37,36,1,3,1,1,1,1,"09:52","10/06/2022",2,36,2,8,,13.9474928131417
38,37,1,3,1,1,1,3,"12:27","10/06/2022",1,30,5,3,,12.3686712765957
38,37,1,3,1,1,1,2,"12:26","10/06/2022",2,40,5,3,,12.3686712765957
38,37,1,3,1,1,1,4,"12:27","10/06/2022",1,45,1,9,,12.3686712765957
38,37,1,3,1,1,1,5,"12:29","10/06/2022",1,45,3,4,,12.3686712765957
38,37,1,3,1,1,1,1,"12:25","10/06/2022",1,46,3,999,,12.3686712765957
39,38,1,3,1,1,7,2,"12:16","09/06/2022",1,30,3,999,,28.5102728323699
39,38,1,3,1,1,7,1,"12:15","09/06/2022",2,42,1,999,,28.5102728323699
39,38,1,3,1,1,7,4,"12:33","09/06/2022",1,62,4,999,,28.5102728323699
39,38,1,3,1,1,7,3,"12:32","09/06/2022",2,46,2,999,,28.5102728323699
40,39,1,3,1,1,1,3,"11:41","08/06/2022",1,40,3,999,,46.9627568421053
40,39,1,3,1,1,1,1,"11:38","08/06/2022",2,33,6,999,,46.9627568421053
