"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","G01","G02","G02A","G02B","G28","G29","G30","G31","G32","G33","G34","G35A","G35B","G36A","G36B","G37A","G37B","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G48_AREA_OTHER","G49_SQUARE","G49_L","G49_W","G49_CERCLE","G50","G51","G52","G53","G54","G54_OTHER","G55_1","G55_2","G55_3","G55_4","G55_5","G55_6","G55_7","G55_8","G55_9","G55_10","G55_OTHER","hhid","camp","ref_weight"
1,11,6,1,12,1,504.2603,"01",30,1,2,,,,,,,,0,,0,,0,,4,2,4,2,4,2,1,2,1,0,1,,2,,,,1,4,2,1,2,,,,,,,,,,,," ",110601201,,
1,11,6,1,13,1,504.2603,"02",180,1,2,,,,,,,,0,,0,,0,,2,2,2,4,4,1,4,2,0,,,,,,,,,,,,4,,,,,,,,,,,," ",110601301,,
1,11,6,1,14,1,504.2603,"02",150,1,2,,,,,,,,0,,1,1,0,,4,1,4,4,2,4,2,2,1,1,2,,,5,3,,1,3,2,1,1,,,,,,,,,,,," ",110601401,,
1,11,6,1,15,1,504.2603,"01",60,2,2,,,,,,,,0,,0,,0,,1,2,1,2,3,4,2,2,0,,,,,,,,,,,,4,,,,,,,,,,,," ",110601501,,
1,11,6,1,16,1,504.2603,"02",60,1,2,2,2,2,2,2,2,2,1,888,1,888,1,0,888,888,5,5,2,888,5,888,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110601601,,
1,11,6,1,17,1,504.2603,"02",240,1,2,2,2,2,2,2,2,5,1,0,1,0,0,,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110601701,,
1,11,6,1,18,1,504.2603,"03",30,1,2,,,,,,,,0,,1,0,0,,4,1,1,1,1,1,2,2,0,,,,,,,,,,,,3,,,,,,,,,,,," ",110601801,,
1,11,7,1,1,1,191.7855,"01",180,1,1,,,,,,,,1,1,0,,0,,5,888,1,1,888,5,888,4,0,,,,,,,,,,,,3,,,,,,,,,,,," ",110700101,,
1,11,7,1,2,1,191.7855,"02",120,1,1,5,5,5,5,5,5,5,0,,1,1,1,0,2,2,4,4,2,4,4,2,1,1,2,,,3,2,,1,3,2,0,6,,,,,,,,,,,," ",110700201,,
1,11,7,1,3,1,191.7855,"02",150,1,1,,,,,,,,1,0,1,4,1,0,2,2,4,4,2,4,2,2,0,,,,,,,,,,,,4,,,,,,,,,,,," ",110700301,,
1,11,7,1,4,1,191.7855,"02",240,1,1,,,,,,,,0,,1,0,0,,4,2,4,4,4,4,4,2,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110700401,,
1,11,7,1,5,1,191.7855,"03",180,1,2,,,,,,,,0,,0,,0,,4,4,2,4,4,4,888,4,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110700501,,
1,11,7,1,6,1,191.7855,"03",120,1,1,,,,,,,,0,,0,,0,,2,2,2,3,4,4,4,1,0,,,,,,,,,,,,4,,,,,,,,,,,," ",110700601,,
1,11,7,1,7,1,191.7855,"06",180,1,1,5,5,3,5,3,5,5,0,,0,,1,0,2,2,4,4,2,2,3,2,1,1,1,,2,,,,1,3,3,1,4,,,,,,,,,,,," ",110700701,,
1,11,7,1,8,1,191.7855,"02",60,1,1,,,,,,,,0,,1,0,1,888,5,888,2,5,2,2,5,888,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110700801,,
1,11,7,1,9,1,191.7855,"01",60,1,2,,,,,,,,1,0,1,0,1,4,2,2,2,2,2,4,4,2,0,,,,,,,,,,,,4,,,,,,,,,,,," ",110700901,,
1,11,7,1,10,1,191.7855,"02",180,1,1,5,3,3,3,3,5,5,0,,1,4,1,0,1,2,4,4,4,4,4,2,1,1,1,,3,,,,1,3,2,0,4,,,,,,,,,,,," ",110701001,,
1,11,7,1,11,1,191.7855,"05",120,1,1,,,,,,,,0,,0,,0,,888,888,888,888,888,3,888,2,0,,,,,,,,,,,,4,,,,,,,,,,,," ",110701101,,
1,11,7,1,12,1,191.7855,"02",60,1,2,,,,,,,,1,0,1,1,1,0,1,1,2,2,1,2,2,1,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110701201,,
1,11,7,1,13,1,191.7855,"04",60,1,2,,,,,,,,1,888,1,1,0,,5,888,2,888,2,2,5,888,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110701301,,
1,11,7,1,14,1,191.7855,"01",60,1,2,2,2,2,2,2,2,2,1,888,1,4,1,0,1,5,2,5,1,888,5,888,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110701401,,
