"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","A01","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A13_OTHER","A14","A15","A15_OTHER","A16","A17","A18","A19","A19_OTHER","A20","A22","A22B","A22B_OTHER","hhid","camp","ref_weight"
1,11,3,2,6,1,179.50659375,1,1,1,73,1,0,,1,8,1,1,," ",,," ",1,,,,,2,2,,,110300601,,
1,11,3,2,7,1,179.50659375,9,2,3,2,0,,,,,,,," ",,," ",,,,,,,,,,110300701,,
1,11,3,2,7,1,179.50659375,7,1,3,6,1,0,,0,,,,," ",,," ",,,,,,6,,,,110300701,,
1,11,3,2,7,1,179.50659375,3,2,3,15,1,1,2,1,7,1,1,," ",,," ",1,,,,,2,,,,110300701,,
1,11,3,2,7,1,179.50659375,1,1,1,37,1,0,,1,1,1,1,," ",,," ",1,,,,,1,2,,,110300701,,
1,11,3,2,7,1,179.50659375,5,2,3,11,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110300701,,
1,11,3,2,7,1,179.50659375,4,2,3,12,1,1,2,1,7,1,1,," ",,," ",1,,,,,6,,,,110300701,,
1,11,3,2,7,1,179.50659375,2,2,2,37,1,1,2,1,1,1,1,," ",,," ",1,,,,,2,,,,110300701,,
1,11,3,2,7,1,179.50659375,6,2,3,7,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110300701,,
1,11,3,2,7,1,179.50659375,8,2,3,4,0,,,,,,,," ",,," ",,,,,,,,,,110300701,,
1,11,3,2,8,1,179.50659375,1,1,1,46,1,1,2,1,5,1,1,," ",,," ",1,,,,,1,1,5,,110300801,,
1,11,3,2,8,1,179.50659375,2,2,3,19,1,1,2,1,7,1,1,," ",,," ",1,,,,,1,,,,110300801,,
1,11,3,2,8,1,179.50659375,4,1,3,11,1,1,2,0,,,,," ",,," ",,,,,,6,,,,110300801,,
1,11,3,2,8,1,179.50659375,3,2,3,19,1,1,2,1,7,1,1,," ",,," ",1,,,,,1,,,,110300801,,
1,11,3,2,9,1,1566.603,1,2,1,50,1,0,,1,8,1,1,," ",,," ",1,,,,,2,2,,,110300901,,
1,11,3,2,9,1,1566.603,4,2,3,16,1,1,2,1,7,1,1,," ",,," ",1,,,,,2,,,,110300901,,
1,11,3,2,9,1,1566.603,3,2,3,19,1,1,2,1,7,1,1,," ",,," ",1,,,,,2,,,,110300901,,
1,11,3,2,9,1,1566.603,2,2,3,22,1,1,2,1,7,1,1,," ",,," ",1,,,,,2,,,,110300901,,
1,11,3,2,9,1,1566.603,5,1,3,9,1,1,2,0,,,,," ",,," ",,,,,,6,,,,110300901,,
1,11,3,2,10,1,1566.603,4,1,3,12,1,1,1,1,7,1,1,," ",,," ",1,,,,,6,,,,110301001,,
1,11,3,2,10,1,1566.603,2,2,2,38,1,1,2,1,2,1,1,," ",,," ",1,,,,,1,,,,110301001,,
1,11,3,2,10,1,1566.603,5,1,3,6,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110301001,,
1,11,3,2,10,1,1566.603,3,2,3,14,1,1,2,1,7,1,1,," ",,," ",1,,,,,6,,,,110301001,,
