"Cluster","HI05","HH_WT","PROVINCE","DISTRICT","HI04","TYPEHH","C128","C135_6","C135_Other","C144","C144_OTHER","C149A","C149B","C149_OTHER","C129","C130","C131","C132","C133","C134","C135_1","C135_2","C135_3","C135_4","C135_5","C136","C137_1","C137_2","C137_3","C137_4","C137_5","C137_6","C138","C139","C140","C141","C142","C143","C145","C146","C147","C148","C150","C151","hhid","camp","ref_weight"
61,14,32.6064994871795,2,22,2,3,1,,,,,1,4,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,5,"01",1,30000,0,1,4,0,3,226101402,,
62,4,40.3062986666667,2,22,2,3,1,555,9,,,111,111,,2,1,1,1,2,1,,,,,,1,,,,,,,2,8,1,1,"01",1,16000,0,0,4,,3,226200402,,
62,5,40.3062986666667,2,22,2,3,1,555,9,,,6,111,,2,1,1,0,2,0,,,,,,1,,,,,,,2,8,1,1,"0102",1,25000,0,1,4,,3,226200502,,
63,6,71.2982583974359,2,22,2,3,1,,,1,,111,111,,1,1,3,0,1,0,,,,,111,0,,,,,111,,1,,,1,"01",2,,,0,3,,1,226300602,,
63,7,71.2982583974359,2,22,2,3,1,,,,,111,111,,1,1,1,1,1,1,,,,,111,0,,,,,111,,2,12,1,1,"01",1,16200,1,1,12,,4,226300702,,
63,8,71.2982583974359,2,22,2,3,1,555,8,,,111,111,,2,1,1,1,3,1,,,,,,1,,,,,,,2,888,0,1,"02",1,45000,0,0,4,,4,226300802,,
63,9,71.2982583974359,2,22,2,3,1,,,3,,111,111,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,888,0,1,"02",2,,,0,4,,4,226300902,,
63,13,71.2982583974359,2,22,2,3,1,,,,,1,111,,2,1,1,0,3,0,,,,,111,0,,,,,111,,2,888,0,2,"0102",1,15000,0,0,12,,1,226301302,,
63,16,71.2982583974359,2,22,2,3,1,,,,,111,111,,1,1,1,1,1,1,,,,,111,0,,,,,111,,2,12,1,1,"01",1,5000,1,1,12,,4,226301602,,
66,9,36.8900172727273,2,22,2,3,1,,,,,111,111,,3,1,1,1,3,0,,,,,111,0,,,,,111,,2,888,0,1,"02",1,30000,1,0,3,,555,226600902,,
66,13,36.8900172727273,2,22,2,3,1,555,14,,,2,111,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,5,"02",1,28000,1,0,3,,3,226601302,,
67,4,105.216928510638,2,22,2,3,1,555,3,,,111,111,,1,1,1,1,1,1,,,,,,1,,,,,,,1,,,2,"01",1,5000,1,0,12,,2,226700402,,
67,5,105.216928510638,2,22,2,3,2,,,,,1,111,,3,1,1,1,2,1,,,,,111,0,,,,,111,,2,888,0,1,"01",1,12000,0,0,4,,3,226700502,,
67,5,105.216928510638,2,22,2,3,1,,,,,3,1,,3,0,1,0,2,1,,,,,111,0,,,,,111,,1,,,1,"01",1,5000,1,0,1,,3,226700502,,
67,8,105.216928510638,2,22,2,3,1,,,2,,1,111,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,12,0,1,"02",2,,,0,3,,4,226700802,,
67,14,105.216928510638,2,22,2,3,1,,,,,111,111,,3,1,1,1,3,1,,,,,111,0,,,,,111,,2,17,0,1,"01",1,66000,1,1,8,,1,226701402,,
68,8,311.598,2,22,2,1,1,555,14,,,1,6,,2,1,1,1,2,1,,,,,,1,,,,,,,2,10,1,1,"01",1,15000,0,1,6,,3,226800802,,
69,4,123.808337946429,2,22,2,3,1,,,,,111,111,,2,1,1,1,3,0,,,,,111,0,,,,,111,,2,12,0,1,"01",1,74000,0,1,6,,2,226900402,,
69,5,123.808337946429,2,22,2,3,1,555,14,,,7,111,,2,1,1,1,2,1,,,,,,1,,,,,,,2,9,1,1,"0102",1,15000,0,0,7,0,1,226900502,,
70,1,80.0988717419355,2,22,2,3,1,555,9,,,2,111,,2,1,1,1,3,0,,,,,,1,,,,,,,2,7,1,4,"01",1,91000,1,1,5,,1,227000102,,
70,5,80.0988717419355,2,22,2,3,1,,,,,111,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"0102",1,28000,1,1,5,,3,227000502,,
70,6,80.0988717419355,2,22,2,3,1,555,9,555,6,111,111,,2,1,1,0,3,0,,,,,,1,,,,,,,2,888,1,2,"01",2,,,0,3,,4,227000602,,
71,5,1344.70940821918,2,22,2,1,1,,,,,3,1,,3,1,3,1,3,1,,,,,111,0,,,,,111,,2,20,1,1,"01",1,95000,1,1,3,,2,227100502,,
71,9,1344.70940821918,2,22,2,1,1,,,,,2,111,,2,1,1,1,2,1,,,,,111,0,,,,,111,,2,888,0,1,"01",1,50000,1,1,4,,3,227100902,,
73,2,,2,22,2,2,1,,,,,6,111,,2,1,1,1,3,0,,,,1,,1,,,,,,,3,888,0,1,"01",1,35000,1,1,3,,3,227300202,4,18.0079364776611
73,10,,2,22,2,2,1,555,3,,,111,111,,3,1,1,0,4,0,,,,,,1,,,,,,,3,60,1,2,"01",1,9800,1,1,888,,1,227301002,4,18.0079364776611
73,11,,2,22,2,2,1,555,3,,,1,111,,3,1,1,0,2,0,,,,,,1,,,,,,,3,888,0,1,"01",1,12000,1,1,3,,4,227301102,4,18.0079364776611
74,10,,2,22,2,2,1,,,1,,111,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"0102",2,,,0,3,,4,227401002,4,18.0079364776611
76,4,,2,22,2,2,1,555,3,,,111,111,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,1,"01",1,5000,0,1,3,,3,227600402,4,18.0079364776611
76,5,,2,22,2,2,1,555,3,,,111,111,,3,1,1,1,3,0,,,,,,1,,,,,,,2,60,1,2,"01",1,115200,1,1,24,,1,227600502,4,18.0079364776611
76,6,,2,22,2,2,1,555,14,,,7,1,,3,1,1,1,3,0,,,,,,1,,,,,,,2,60,1,3,"02",1,169200,1,1,4,0,1,227600602,4,18.0079364776611
76,9,,2,22,2,2,1,555,3,,,111,111,,3,1,1,1,3,1,,,,,,1,,,,,,,2,60,1,3,"0102",1,172800,1,1,4,,1,227600902,4,18.0079364776611
76,13,,2,22,2,2,1,,,,,2,7,,3,1,1,1,3,1,,,,1,,1,,,,,,,3,888,0,2,"01",1,172800,1,1,3,0,1,227601302,4,18.0079364776611
76,15,,2,22,2,2,1,,,,,6,7,,2,1,1,0,3,0,,,,1,,1,,,,,,,3,888,0,1,"01",1,20000,0,1,2,0,1,227601502,4,18.0079364776611
77,16,,2,22,2,2,1,,,,,1,6,,2,1,1,0,1,0,,,,1,,1,,,,,,,3,888,0,1,"01",1,13000,0,0,2,,1,227701602,4,18.0079364776611
78,14,,2,22,2,2,1,,,,,6,2,,3,1,1,1,3,1,,,,1,,1,,,,,,,3,888,0,2,"01",1,300000,1,1,3,,1,227801402,4,18.0079364776611
78,15,,2,22,2,2,1,,,,,7,4,,2,1,1,1,2,0,,,,1,,1,,,,,,,3,888,0,1,"01",1,20000,0,0,2,0,1,227801502,4,18.0079364776611
78,18,,2,22,2,2,1,555,14,,,111,111,,3,1,1,0,3,0,,,,,,1,,,,,,,3,60,1,1,"01",1,12000,1,1,4,,3,227801802,4,18.0079364776611
79,3,191.269876666667,2,23,1,1,1,,,,,111,111,,3,1,1,1,4,1,,,,,111,0,,,,,111,,2,888,0,4,"02",1,15000,1,1,3,,2,237900302,,
79,5,191.269876666667,2,23,1,1,1,555,14,555,2,4,111,,3,1,1,1,3,1,,,,,,1,,,,,,,2,888,0,2,"01",2,,,1,15,1,1,237900502,,
79,8,133.4441,2,23,1,1,1,555,9,,,1,111,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,5,"01",1,30000,1,1,2,,555,237900802,,
80,6,943.521016042781,2,23,2,1,1,555,18,2,,1,111,,3,1,1,1,3,0,,,,,,1,,,,,,,2,888,0,3,"02",2,,,0,1,,555,238000602,,
80,13,943.521016042781,2,23,2,1,3,,,2,,7,6,,3,0,1,0,2,0,,,,,111,0,,,,,111,,3,888,1,3,"01",2,,,0,3,0,1,238001302,,
80,13,943.521016042781,2,23,2,1,2,,,2,,6,7,,3,0,1,0,2,0,,,,,111,0,,,,,111,,1,,,3,"01",2,,,0,3,0,1,238001302,,
80,13,943.521016042781,2,23,2,1,1,,,2,,1,2,,3,1,1,0,2,0,,,,,111,0,,,,,111,,3,60,1,3,"0102",2,,,0,3,,1,238001302,,
80,14,943.521016042781,2,23,2,1,2,,,2,,111,111,,2,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"01",2,,,0,2,,1,238001402,,
80,14,943.521016042781,2,23,2,1,3,,,2,,6,7,,2,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"01",2,,,0,2,,1,238001402,,
80,14,943.521016042781,2,23,2,1,4,,,2,,6,7,,2,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"01",2,,,0,1,0,1,238001402,,
80,14,943.521016042781,2,23,2,1,1,,,2,,1,2,,3,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"01",2,,,0,2,0,1,238001402,,
81,1,1569.95834545455,2,23,2,1,1,,,,,6,3,,2,1,1,1,3,0,,,,1,,1,,,,,,,3,70,0,1,"01",1,20000,0,1,3,,1,238100102,,
81,3,1569.95834545455,2,23,2,1,1,,,2,,6,111,,2,1,1,1,4,0,,,,1,,1,,,,,,,3,70,1,1,"01",2,,,0,3,,2,238100302,,
81,4,1569.95834545455,2,23,2,1,1,,,2,,111,111,,3,1,1,1,3,0,,,,1,,1,,,,,,,3,50,1,1,"01",2,,,0,2,,2,238100402,,
82,2,2203.36932666667,2,23,2,1,1,,,2,,111,111,,3,1,1,1,3,0,1,,,,,1,,,,,,,3,888,0,3,"01",2,,,0,3,,3,238200202,,
82,4,2203.36932666667,2,23,2,1,1,,,2,,111,111,,3,1,1,1,4,0,,,,,111,0,,,,,111,,2,12,0,1,"01",2,,,0,4,,2,238200402,,
82,17,2203.36932666667,2,23,2,1,1,,,,,6,2,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"0102",1,12000,0,0,3,,3,238201702,,
82,18,2203.36932666667,2,23,2,1,1,,,2,,7,1,,2,0,1,0,2,0,,,,,111,0,,,,,111,,2,888,0,1,"01",2,,,0,3,0,2,238201802,,
82,18,2203.36932666667,2,23,2,1,2,,,2,,1,7,,2,1,1,0,4,0,,,,,111,0,,,,,111,,2,888,0,1,"01",2,,,0,3,0,2,238201802,,
83,1,1305.621,2,24,2,1,1,,,,,111,111,,2,1,1,1,3,1,1,,1,,,1,,,,,,,3,888,1,3,"01",1,75000,1,1,3,,2,248300102,,
